project_name,display_title,english_title,official_subjects,has_official_zh_cn,recommended_run_url,already_in_system,existing_animation_id,existing_subject_name,existing_title
wave-on-a-string,绳波,Wave on a String,"Math & Statistics,Earth & Space,Chemistry,Physics",yes,/sims/html/wave-on-a-string/latest/wave-on-a-string_zh_CN.html,yes,19,physics,PhET 绳波
make-a-ten,获得一个10,Make a Ten,Math & Statistics,yes,/sims/html/make-a-ten/latest/make-a-ten_zh_CN.html,no,,,
expression-exchange,表达式变换,Expression Exchange,Math & Statistics,yes,/sims/html/expression-exchange/latest/expression-exchange_zh_CN.html,no,,,
masses-and-springs,质量和弹簧,Masses and Springs,"Math & Statistics,Physics",yes,/sims/html/masses-and-springs/latest/masses-and-springs_zh_CN.html,yes,14,physics,PhET 弹簧和质量
ohms-law,部分电路欧姆定律,Ohm's Law,"Math & Statistics,Physics",yes,/sims/html/ohms-law/latest/ohms-law_zh_CN.html,yes,8,physics,PhET 欧姆定律
pendulum-lab,钟摆实验,Pendulum Lab,"Math & Statistics,Physics",yes,/sims/html/pendulum-lab/latest/pendulum-lab_zh_CN.html,yes,144,physics,钟摆实验
area-model-multiplication,面积模型乘法,Area Model Multiplication,Math & Statistics,yes,/sims/html/area-model-multiplication/latest/area-model-multiplication_zh_CN.html,no,,,
area-model-algebra,面积模型代数,Area Model Algebra,Math & Statistics,yes,/sims/html/area-model-algebra/latest/area-model-algebra_zh_CN.html,no,,,
area-model-introduction,面积模型入门,Area Model Introduction,Math & Statistics,yes,/sims/html/area-model-introduction/latest/area-model-introduction_zh_CN.html,no,,,
area-model-decimals,面积模型：小数,Area Model Decimals,Math & Statistics,yes,/sims/html/area-model-decimals/latest/area-model-decimals_zh_CN.html,no,,,
